# Time-averaged data for fix print2
# TimeStep c_CG[1] c_CG[2] c_CG[3] c_LG[1] c_LG[2] c_LG[3]
18200 50 50.0006 0.499787 -0.709541 0 0
18300 50 50.0006 0.499795 -0.699817 0 0
18400 50 50.0006 0.499803 -0.69018 0 0
18500 50 50.0006 0.49981 -0.680635 0 0
18600 50 50.0007 0.499818 -0.671189 0 0
18700 50 50.0007 0.499826 -0.661849 0 0
18800 50 50.0007 0.499834 -0.652619 0 0
18900 50 50.0007 0.499842 -0.643506 0 0
19000 50 50.0007 0.49985 -0.634515 0 0
19100 50 50.0007 0.499858 -0.625652 0 0
19200 50 50.0007 0.499866 -0.616922 0 0
19300 50 50.0007 0.499874 -0.608331 0 0
19400 50 50.0007 0.499882 -0.599884 0 0
19500 50 50.0007 0.49989 -0.591585 0 0
19600 50 50.0007 0.499898 -0.583286 0 0
19700 50 50.0007 0.499906 -0.576844 0 0
19800 50 50.0007 0.499914 -0.572445 0 0
19900 50 50.0007 0.499922 -0.570084 0 0
20000 50 50.0007 0.499931 -0.569757 0 0
20100 50 50.0007 0.499939 -0.570894 0 0
20200 50 50.0007 0.499947 -0.572177 0 0
20300 50 50.0007 0.499955 -0.573553 0 0
20400 50 50.0007 0.499963 -0.575019 0 0
20500 50 50.0007 0.499971 -0.576575 0 0
20600 50 50.0007 0.499979 -0.578218 0 0
20700 50 50.0007 0.499987 -0.579946 0 0
20800 50 50.0007 0.499995 -0.581757 0 0
20900 50 50.0007 0.500003 -0.582931 0 0
21000 50 50.0007 0.500011 -0.582931 0 0
21100 50 50.0007 0.500019 -0.582931 0 0
21200 50 50.0008 0.500027 -0.582931 0 0
21300 50 50.0008 0.500035 -0.582931 0 0
21400 50 50.0008 0.500043 -0.582931 0 0
21500 50 50.0008 0.500051 -0.582931 0 0
21600 50 50.0008 0.500059 -0.582931 0 0
21700 50 50.0008 0.500067 -0.582931 0 0
21800 50 50.0008 0.500075 -0.582931 0 0
21900 50 50.0008 0.500083 -0.582931 0 0
22000 50 50.0008 0.500091 -0.582931 0 0
22100 50 50.0008 0.500099 -0.582931 0 0
22200 50 50.0008 0.500107 -0.582931 0 0
22300 50 50.0008 0.500115 -0.582931 0 0
22400 50 50.0008 0.500123 -0.582931 0 0
22500 50 50.0008 0.500131 -0.582931 0 0
22600 50 50.0008 0.500139 -0.582931 0 0
22700 50 50.0008 0.500147 -0.582931 0 0
22800 50 50.0008 0.500155 -0.582931 0 0
22900 50 50.0008 0.500163 -0.582931 0 0
23000 50 50.0008 0.500171 -0.582931 0 0
23100 50 50.0008 0.500179 -0.582931 0 0
23200 50 50.0008 0.500187 -0.582931 0 0
23300 50 50.0008 0.500195 -0.582931 0 0
23400 50 50.0008 0.500203 -0.582931 0 0
23500 50 50.0008 0.500211 -0.582931 0 0
23600 50 50.0008 0.500219 -0.582931 0 0
23700 50 50.0008 0.500227 -0.582931 0 0
23800 50 50.0009 0.500235 -0.582931 0 0
23900 50 50.0009 0.500243 -0.582931 0 0
24000 50 50.0009 0.500251 -0.582931 0 0
24100 50 50.0009 0.500259 -0.582931 0 0
24200 50 50.0009 0.500267 -0.582931 0 0
24300 50 50.0009 0.500275 -0.582931 0 0
24400 50 50.0009 0.500283 -0.582931 0 0
24500 50 50.0009 0.500291 -0.582931 0 0
24600 50 50.0009 0.500299 -0.582931 0 0
24700 50 50.0009 0.500307 -0.582931 0 0
24800 50 50.0009 0.500315 -0.582931 0 0
24900 50 50.0009 0.500323 -0.582931 0 0
25000 50 50.0009 0.500331 -0.582931 0 0
25100 50 50.0009 0.500339 -0.582931 0 0
25200 50 50.0009 0.500347 -0.582931 0 0
