# Time-averaged data for fix print1
# TimeStep f_IKE[0] c_eKin c_rot_e c_epotN c_epotT c_edisN c_edisTV c_edisTF c_workT c_edisH
18000 0 35.8049 2.65884 6.56401 0.927125 13.9013 2.64472 0 0.928344 0
18100 0 36.1769 2.58729 6.12878 0.928491 14.0347 2.64474 0 0.929709 0
18200 0 36.5345 2.51725 5.70643 0.928506 14.1694 2.64474 0 0.929725 0
18300 0 36.8775 2.44873 5.2973 0.927183 14.3054 2.64475 0 0.928402 0
18400 0 37.2055 2.38175 4.90169 0.924535 14.4426 2.64479 0 0.925754 0
18500 0 37.5183 2.31633 4.5199 0.92058 14.5809 2.64488 0 0.921799 0
18600 0 37.8155 2.25248 4.15222 0.915339 14.7203 2.64505 0 0.916558 0
18700 0 38.097 2.19022 3.79892 0.908838 14.8607 2.6453 0 0.910057 0
18800 0 38.3624 2.12956 3.46024 0.901105 15.0019 2.64566 0 0.902324 0
18900 0 38.6116 2.0705 3.13642 0.892171 15.1441 2.64614 0 0.89339 0
19000 0 38.8443 2.01305 2.82768 0.88207 15.287 2.64677 0 0.883289 0
19100 0 39.0605 1.95721 2.53423 0.87084 15.4306 2.64755 0 0.87206 0
19200 0 39.2598 1.90297 2.25626 0.858521 15.5749 2.6485 0 0.859742 0
19300 0 39.4421 1.85034 1.99393 0.845156 15.7197 2.64964 0 0.846377 0
19400 0 39.6074 1.79931 1.74741 0.83079 15.8651 2.65098 0 0.832012 0
19500 0 39.7554 1.74987 1.51683 0.81547 16.0108 2.65252 0 0.816693 0
19600 0 39.8874 1.70111 1.30231 0.538143 16.1569 2.65279 0.261991 0.539702 0
19700 0 39.9888 1.66375 1.10397 0.283797 16.3032 2.65279 0.503851 0.285759 0
19800 0 40.0582 1.63847 0.921881 0.110348 16.4498 2.65279 0.668318 0.112713 0
19900 0 40.0955 1.62498 0.75613 0.0174276 16.5965 2.65279 0.756131 0.0201931 0
20000 0 40.1007 1.62312 0.606768 9.18126e-07 16.7432 2.65289 0.772557 0.00303007 0
20100 0 40.0782 1.6296 0.473834 0.000115539 16.8899 2.65499 0.772634 0.00314566 0
20200 0 40.0381 1.63694 0.357353 0.000437372 17.0365 2.65723 0.772634 0.00346852 0
20300 0 39.9811 1.64482 0.25733 0.000959947 17.1829 2.65943 0.772634 0.00399211 0
20400 0 39.9072 1.65324 0.173755 0.00167699 17.3291 2.66159 0.772634 0.00471015 0
20500 0 39.8165 1.6622 0.106603 0.00258179 17.475 2.6637 0.772634 0.00561593 0
20600 0 39.7092 1.67168 0.0558294 0.0036672 17.6204 2.66576 0.772634 0.00670229 0
20700 0 39.5854 1.68169 0.0213766 0.00492569 17.7654 2.66777 0.772634 0.0079617 0
20800 0 39.4452 1.69221 0.00316942 0.00634934 17.9099 2.66973 0.772634 0.00938625 0
20900 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
21000 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
21100 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
21200 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
21300 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
21400 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
21500 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
21600 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
21700 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
21800 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
21900 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
22000 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
22100 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
22200 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
22300 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
22400 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
22500 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
22600 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
22700 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
22800 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
22900 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
23000 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
23100 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
23200 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
23300 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
23400 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
23500 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
23600 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
23700 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
23800 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
23900 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
24000 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
24100 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
24200 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
24300 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
24400 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
24500 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
24600 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
24700 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
24800 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
24900 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
25000 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
25100 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
25200 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
25300 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
25400 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
25500 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
25600 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
25700 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
25800 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
25900 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
26000 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
26100 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
26200 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
26300 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
26400 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
26500 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
26600 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
26700 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
26800 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
26900 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
27000 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
27100 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
27200 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
27300 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
27400 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
27500 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
27600 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
27700 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
27800 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
27900 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
28000 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
28100 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
28200 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
28300 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
28400 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
28500 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
28600 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
28700 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
28800 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
28900 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
29000 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
29100 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
29200 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
29300 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
29400 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
29500 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
29600 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
29700 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
29800 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
29900 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
30000 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
30100 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
30200 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
30300 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
30400 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
30500 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
30600 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
30700 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
30800 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
30900 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
31000 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
31100 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
31200 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
31300 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
31400 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
31500 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
31600 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
31700 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
31800 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
31900 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
32000 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
32100 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
32200 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
32300 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
32400 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
32500 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
32600 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
32700 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
32800 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
32900 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
33000 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
33100 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
33200 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
33300 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
33400 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
33500 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
33600 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
33700 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
33800 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
33900 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
34000 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
34100 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
34200 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
34300 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
34400 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
34500 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
34600 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
34700 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
34800 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
34900 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
35000 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
35100 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
35200 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
35300 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
35400 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
